Date,qqq_return,predicted_volatility,leverage,strategy_return
2013-04-03,,0.14774556954891666,,
2013-04-04,0.00029195599943765416,0.14208314362604282,1.1,0.0003211515993814196
2013-04-05,-0.008329356622378992,0.1458242733120646,1.1181818181818182,-0.009313735132296509
2013-04-08,0.005305452676542366,0.13407287948713695,1.1512396694214875,0.00610784758547398
2013-04-09,0.006742670995547595,0.13516748307089493,1.1964688204357625,0.00806739561262926
2013-04-10,0.019510919219144274,0.12785993578438748,1.2516563076292604,0.024420965108286893
2013-04-11,-0.00042880637990960757,0.12805797733367263,1.3149915244239403,-0.0005638767552000461
2013-04-12,-0.0007142339418367838,0.12621819658946906,1.3849930654377696,-0.0009892090565442287
2013-04-15,-0.019730865191264435,0.1879327297277318,1.4604488717218116,-0.02881591980667731
2013-04-16,0.013272713548549309,0.15638528624517295,1.5040036223178457,0.019962209255005307
2013-04-17,-0.01957703690589163,0.1895418358567212,1.5214575091691465,-0.029785629807750336
2013-04-18,-0.013801120055766614,0.2021883567858165,1.517556143865665,-0.020943974532856274
2013-04-19,0.013696784034695542,0.17531151521871793,1.4961822995264533,0.020492885833147987
2013-04-22,0.01028048300812956,0.14543170681048131,1.4834278752268233,0.015250355065055093
2013-04-23,0.009594255745769997,0.14973912256898875,1.4911742553453078,0.014306707167291016
2013-04-24,-0.0004317743782167316,0.14076977596682266,1.5156940208967948,-0.0006544378434395313
2013-04-25,0.005329745062152558,0.13767405202851593,1.5539374654389209,0.008282090533316949
2013-04-26,-0.0031520985420766534,0.1466459519744443,1.6015639650690792,-0.005048287439336749
2013-04-29,0.009199231487738713,0.1499118655927453,1.6223492829482995,0.014924366607808319
2013-04-30,0.007264103045300452,0.1525499030860658,1.6305851430631355,0.011844738503346596
2013-05-01,-0.004666450744852058,0.1627259660013576,1.6320802060815776,-0.007616021893327677
2013-05-02,0.012643910067140052,0.15485378756626222,1.6151216212784845,0.020421452526938593
2013-05-03,0.011784789608846324,0.14637486308145242,1.614995167172291,0.019032378264429047
2013-05-06,0.0038821939317204013,0.1438730197236391,1.6318948690641355,0.006335332357886445
2013-05-07,-0.0005523200380722626,0.14688559849011668,1.6511218706943418,-0.0009119476944838443
2013-05-08,0.004836706174628613,0.13771719370066782,1.6603733202080113,0.0080307378900387
2013-05-09,-0.0013752643005596754,0.1466349204641636,1.686124506173741,-0.002318866839639558
2013-05-10,0.00606017623593158,0.14461739434535129,1.6895408660766702,0.010238915406233097
2013-05-13,0.0012316035769870393,0.1391624794452969,1.696660595953801,0.002089613258909663
2013-05-14,0.005195698716506714,0.13933770211913601,1.7148061670945458,0.00890961620143093
2013-05-15,0.002039705133057179,0.13293805746867904,1.7292417941934075,0.0035271433639132996
2013-05-16,-0.001085597565654961,0.12877591723831736,1.7567569397217402,-0.0019071310572093803
2013-05-17,0.009648098573344477,0.12407919428972855,1.7903205470008308,0.017273189115348017
2013-05-20,-0.0014806693885780486,0.13050091604947134,1.8284440839097704,-0.00270732118377183
2013-05-21,0.0010784472883074159,0.13319814434487007,1.8443079531930147,0.001988988910924807
2013-05-22,-0.008751798579702208,0.14019144735271166,1.8502343298233948,-0.016192878179864652
2013-05-23,-0.0023095590726154303,0.14205258196768913,1.83806003166071,-0.004245108222133798
2013-05-24,-0.0005441928389506856,0.14432804119013318,1.8238512427803153,-0.000992526785632356
2013-05-28,0.0065387395447300545,0.1455362968711167,1.8071810401659296,0.011816686131819357
2013-05-29,-0.004736670647778496,0.14762289839827417,1.7909271300778267,-0.008483031969349821
2013-05-30,0.005302739982404825,0.1420342264888621,1.7732138719682213,0.009402892096240758
2013-05-31,-0.009197774545896653,0.15858624556208561,1.7708366463576528,-0.016287756230809414
2013-06-03,0.0017745011241838693,0.1562214227708847,1.7507098254035511,0.003106636553298347
2013-06-04,-0.0051787075154243745,0.1538798988984951,1.7233612543040748,-0.00892478387945569
2013-06-05,-0.013013349153446652,0.16726358630884633,1.7054125982575763,-0.022193129591812487
2013-06-06,0.004857991006538054,0.16018332955782383,1.6725455160377138,0.008125211074936762
2013-06-07,0.01367374180249148,0.14034339224621445,1.6522120988152216,0.022591921642151878
2013-06-10,0.0004085942340312787,0.14273478275598178,1.6537574847240915,0.0006757157727443343
